      year,  location,    lowest,   2nd_low,    median,  2nd_high,   highest,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
  4.00,E08000015,    0.860,    0.861,    1.259,    1.886,    2.063,    1.214,    0.860,    1.073,    1.185,    1.555,    1.265,    0.861,    1.478,    1.371,    1.259,    2.063,    0.986,    1.882,    1.886,    0.913
  0.61,E06000010,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  1.00,E06000010,    0.028,    0.059,    0.089,    0.130,    0.130,    0.059,    0.064,    0.059,    0.100,    0.097,    0.130,    0.089,    0.097,    0.059,    0.028,    0.105,    0.062,    0.130,    0.095,    0.059
  1.25,E06000010,    0.097,    0.148,    0.203,    0.303,    0.355,    0.199,    0.181,    0.148,    0.214,    0.244,    0.303,    0.203,    0.211,    0.148,    0.169,    0.256,    0.174,    0.355,    0.214,    0.097
  1.50,E06000010,    0.127,    0.207,    0.291,    0.466,    0.605,    0.283,    0.210,    0.207,    0.270,    0.394,    0.466,    0.291,    0.385,    0.207,    0.269,    0.436,    0.317,    0.605,    0.307,    0.127
  1.75,E06000010,    0.219,    0.299,    0.412,    0.594,    0.763,    0.412,    0.361,    0.299,    0.396,    0.479,    0.594,    0.417,    0.536,    0.299,    0.328,    0.561,    0.400,    0.763,    0.433,    0.219
  2.00,E06000010,    0.248,    0.386,    0.505,    0.709,    0.971,    0.497,    0.505,    0.412,    0.485,    0.568,    0.683,    0.449,    0.674,    0.386,    0.446,    0.709,    0.551,    0.971,    0.512,    0.248
  2.25,E06000010,    0.316,    0.474,    0.648,    0.880,    1.246,    0.648,    0.566,    0.474,    0.636,    0.660,    0.717,    0.490,    0.788,    0.474,    0.568,    0.880,    0.732,    1.246,    0.829,    0.316
  2.50,E06000010,    0.609,    0.657,    0.889,    1.206,    1.594,    0.931,    0.746,    0.710,    0.835,    0.903,    0.889,    0.657,    1.068,    0.711,    0.770,    1.206,    0.926,    1.594,    1.179,    0.609
  2.75,E06000010,    0.797,    0.868,    1.063,    1.490,    1.934,    1.142,    0.923,    0.945,    1.063,    1.242,    1.043,    0.868,    1.415,    0.990,    1.027,    1.490,    1.137,    1.934,    1.418,    0.797
  3.00,E06000010,    0.985,    1.104,    1.422,    2.007,    2.371,    1.566,    1.261,    1.240,    1.269,    1.855,    1.422,    1.130,    1.983,    1.104,    1.418,    1.952,    1.463,    2.371,    2.007,    0.985
  3.25,E06000010,    1.221,    1.318,    1.870,    2.659,    2.893,    2.111,    1.945,    1.751,    1.782,    2.302,    1.870,    1.318,    2.482,    1.739,    1.715,    2.659,    1.802,    2.893,    2.576,    1.221
  3.50,E06000010,    1.488,    1.712,    2.293,    3.413,    3.437,    2.636,    2.355,    2.045,    2.293,    2.724,    2.286,    1.712,    2.896,    2.259,    2.204,    3.437,    2.220,    3.413,    3.258,    1.488
  3.75,E06000010,    1.778,    1.934,    2.746,    3.897,    4.086,    2.970,    2.746,    2.517,    2.750,    3.165,    2.740,    1.934,    3.292,    2.714,    2.363,    4.086,    2.379,    3.897,    3.777,    1.778
  4.00,E06000010,    2.218,    2.315,    3.189,    4.334,    4.569,    3.234,    3.150,    3.148,    3.189,    3.539,    2.973,    2.218,    3.844,    3.323,    2.885,    4.569,    2.973,    4.334,    4.137,    2.315
  0.61,E06000011,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017,    0.017
  1.00,E06000011,    0.040,    0.052,    0.073,    0.120,    0.123,    0.057,    0.065,    0.056,    0.092,    0.094,    0.120,    0.073,    0.082,    0.054,    0.040,    0.106,    0.066,    0.123,    0.085,    0.052
  1.25,E06000011,    0.085,    0.127,    0.177,    0.275,    0.283,    0.157,    0.172,    0.127,    0.198,    0.228,    0.275,    0.177,    0.179,    0.128,    0.149,    0.244,    0.142,    0.283,    0.188,    0.085
  1.50,E06000011,    0.127,    0.180,    0.267,    0.427,    0.519,    0.259,    0.198,    0.189,    0.242,    0.389,    0.427,    0.266,    0.342,    0.180,    0.267,    0.396,    0.280,    0.519,    0.284,    0.127
  1.75,E06000011,    0.203,    0.281,    0.387,    0.570,    0.694,    0.398,    0.371,    0.290,    0.387,    0.462,    0.570,    0.381,    0.490,    0.281,    0.330,    0.536,    0.342,    0.694,    0.412,    0.203
  2.00,E06000011,    0.233,    0.360,    0.477,    0.666,    0.883,    0.464,    0.478,    0.382,    0.477,    0.545,    0.635,    0.426,    0.606,    0.360,    0.420,    0.666,    0.461,    0.883,    0.483,    0.233
  2.25,E06000011,    0.295,    0.450,    0.610,    0.782,    1.101,    0.607,    0.538,    0.451,    0.619,    0.629,    0.667,    0.494,    0.708,    0.450,    0.527,    0.782,    0.610,    1.101,    0.723,    0.295
  2.50,E06000011,    0.532,    0.624,    0.809,    1.036,    1.398,    0.844,    0.684,    0.633,    0.763,    0.847,    0.809,    0.624,    0.972,    0.628,    0.722,    1.036,    0.813,    1.398,    1.021,    0.532
  2.75,E06000011,    0.709,    0.818,    0.978,    1.306,    1.756,    1.052,    0.842,    0.851,    0.978,    1.179,    0.957,    0.818,    1.299,    0.873,    0.963,    1.306,    1.011,    1.756,    1.257,    0.709
  3.00,E06000011,    0.879,    0.993,    1.309,    1.826,    2.202,    1.447,    1.172,    1.113,    1.152,    1.719,    1.309,    1.076,    1.756,    0.993,    1.324,    1.764,    1.307,    2.202,    1.826,    0.879
  3.25,E06000011,    1.082,    1.248,    1.692,    2.363,    2.623,    1.903,    1.722,    1.580,    1.625,    2.085,    1.692,    1.248,    2.156,    1.574,    1.581,    2.363,    1.591,    2.623,    2.310,    1.082
  3.50,E06000011,    1.348,    1.543,    2.061,    3.058,    3.078,    2.315,    2.061,    1.840,    2.069,    2.468,    2.047,    1.543,    2.540,    2.033,    2.058,    3.058,    1.937,    3.078,    2.924,    1.348
  3.75,E06000011,    1.610,    1.777,    2.451,    3.540,    3.680,    2.654,    2.423,    2.237,    2.451,    2.869,    2.490,    1.777,    2.920,    2.427,    2.203,    3.680,    2.097,    3.540,    3.425,    1.610
  4.00,E06000011,    2.029,    2.108,    2.898,    3.949,    4.164,    2.898,    2.773,    2.811,    2.898,    3.245,    2.713,    2.029,    3.402,    2.977,    2.716,    4.164,    2.653,    3.949,    3.796,    2.108
  0.61,E06000012,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003,    0.003
  1.00,E06000012,    0.016,    0.016,    0.046,    0.066,    0.066,    0.016,    0.033,    0.016,    0.051,    0.049,    0.066,    0.043,    0.046,    0.016,    0.016,    0.064,    0.051,    0.066,    0.049,    0.016
  1.25,E06000012,    0.048,    0.066,    0.119,    0.173,    0.177,    0.077,    0.119,    0.066,    0.129,    0.151,    0.177,    0.121,    0.111,    0.066,    0.075,    0.158,    0.083,    0.173,    0.124,    0.048
  1.50,E06000012,    0.064,    0.088,    0.143,    0.267,    0.325,    0.127,    0.142,    0.111,    0.143,    0.221,    0.267,    0.169,    0.189,    0.088,    0.138,    0.244,    0.133,    0.325,    0.189,    0.064
  1.75,E06000012,    0.109,    0.129,    0.220,    0.333,    0.445,    0.194,    0.210,    0.145,    0.220,    0.254,    0.333,    0.220,    0.255,    0.129,    0.174,    0.309,    0.194,    0.445,    0.256,    0.109
  2.00,E06000012,    0.127,    0.196,    0.268,    0.378,    0.540,    0.209,    0.276,    0.211,    0.256,    0.318,    0.366,    0.268,    0.301,    0.196,    0.225,    0.378,    0.252,    0.540,    0.314,    0.127
  2.25,E06000012,    0.162,    0.239,    0.323,    0.440,    0.688,    0.322,    0.304,    0.239,    0.346,    0.370,    0.385,    0.294,    0.350,    0.255,    0.304,    0.440,    0.323,    0.688,    0.425,    0.162
  2.50,E06000012,    0.294,    0.325,    0.480,    0.647,    0.899,    0.495,    0.361,    0.325,    0.395,    0.562,    0.455,    0.373,    0.599,    0.367,    0.480,    0.572,    0.542,    0.899,    0.647,    0.294
  2.75,E06000012,    0.409,    0.533,    0.692,    0.899,    1.182,    0.711,    0.576,    0.561,    0.610,    0.899,    0.607,    0.533,    0.877,    0.576,    0.697,    0.865,    0.692,    1.182,    0.895,    0.409
  3.00,E06000012,    0.531,    0.714,    0.913,    1.373,    1.643,    1.019,    0.896,    0.780,    0.846,    1.295,    0.913,    0.714,    1.152,    0.750,    0.936,    1.239,    0.900,    1.643,    1.373,    0.531
  3.25,E06000012,    0.631,    0.862,    1.268,    1.727,    1.885,    1.323,    1.328,    1.096,    1.268,    1.566,    1.171,    0.862,    1.430,    1.149,    1.123,    1.650,    1.103,    1.885,    1.727,    0.631
  3.50,E06000012,    0.811,    0.992,    1.623,    2.334,    2.355,    1.625,    1.644,    1.319,    1.623,    1.841,    1.486,    0.992,    1.741,    1.468,    1.477,    2.334,    1.390,    2.355,    2.277,    0.811
  3.75,E06000012,    1.058,    1.192,    1.923,    2.783,    2.843,    1.959,    1.923,    1.675,    2.030,    2.226,    1.839,    1.192,    2.108,    1.758,    1.602,    2.843,    1.517,    2.783,    2.656,    1.058
  4.00,E06000012,    1.412,    1.460,    2.187,    3.189,    3.409,    2.139,    2.252,    2.103,    2.414,    2.633,    2.057,    1.412,    2.525,    2.187,    2.014,    3.409,    1.996,    3.189,    2.984,    1.460
  0.61,E06000013,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024,    0.024
  1.00,E06000013,    0.055,    0.072,    0.094,    0.141,    0.143,    0.083,    0.077,    0.077,    0.114,    0.114,    0.141,    0.092,    0.106,    0.080,    0.055,    0.124,    0.094,    0.143,    0.112,    0.072
  1.25,E06000013,    0.108,    0.153,    0.214,    0.323,    0.327,    0.201,    0.196,    0.153,    0.235,    0.273,    0.323,    0.216,    0.214,    0.160,    0.182,    0.278,    0.178,    0.327,    0.226,    0.108
  1.50,E06000013,    0.168,    0.233,    0.338,    0.509,    0.612,    0.338,    0.240,    0.241,    0.293,    0.460,    0.509,    0.322,    0.413,    0.233,    0.335,    0.453,    0.345,    0.612,    0.348,    0.168
  1.75,E06000013,    0.262,    0.359,    0.469,    0.678,    0.815,    0.502,    0.447,    0.361,    0.469,    0.548,    0.678,    0.455,    0.588,    0.359,    0.413,    0.621,    0.421,    0.815,    0.497,    0.262
  2.00,E06000013,    0.295,    0.447,    0.571,    0.763,    1.028,    0.571,    0.569,    0.463,    0.582,    0.643,    0.753,    0.505,    0.718,    0.447,    0.514,    0.763,    0.553,    1.028,    0.572,    0.295
  2.25,E06000013,    0.360,    0.533,    0.703,    0.895,    1.254,    0.703,    0.630,    0.533,    0.735,    0.722,    0.786,    0.571,    0.822,    0.541,    0.626,    0.895,    0.697,    1.254,    0.825,    0.360
  2.50,E06000013,    0.625,    0.691,    0.882,    1.175,    1.596,    0.965,    0.788,    0.726,    0.882,    0.915,    0.940,    0.691,    1.079,    0.726,    0.815,    1.175,    0.861,    1.596,    1.130,    0.625
  2.75,E06000013,    0.822,    0.884,    1.090,    1.433,    1.924,    1.172,    0.939,    0.929,    1.101,    1.269,    1.060,    0.884,    1.430,    0.987,    1.042,    1.433,    1.090,    1.924,    1.358,    0.822
  3.00,E06000013,    1.012,    1.095,    1.418,    1.969,    2.384,    1.576,    1.273,    1.224,    1.275,    1.843,    1.418,    1.162,    1.905,    1.095,    1.435,    1.902,    1.403,    2.384,    1.969,    1.012
  3.25,E06000013,    1.216,    1.348,    1.809,    2.540,    2.802,    2.051,    1.852,    1.718,    1.793,    2.235,    1.809,    1.348,    2.352,    1.696,    1.689,    2.540,    1.702,    2.802,    2.462,    1.216
  3.50,E06000013,    1.491,    1.681,    2.219,    3.289,    3.314,    2.491,    2.219,    1.979,    2.232,    2.640,    2.178,    1.681,    2.762,    2.173,    2.190,    3.289,    2.085,    3.314,    3.147,    1.491
  3.75,E06000013,    1.778,    1.931,    2.646,    3.798,    3.934,    2.854,    2.616,    2.417,    2.648,    3.063,    2.646,    1.931,    3.166,    2.606,    2.333,    3.934,    2.244,    3.798,    3.657,    1.778
  4.00,E06000013,    2.197,    2.314,    3.105,    4.219,    4.455,    3.105,    2.990,    3.036,    3.116,    3.451,    2.871,    2.197,    3.671,    3.196,    2.875,    4.455,    2.826,    4.219,    4.069,    2.314
  0.61,E06000014,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030,    0.030
  1.00,E06000014,    0.055,    0.056,    0.086,    0.124,    0.129,    0.084,    0.090,    0.084,    0.095,    0.097,    0.129,    0.062,    0.089,    0.056,    0.058,    0.124,    0.064,    0.124,    0.086,    0.055
  1.25,E06000014,    0.092,    0.124,    0.187,    0.283,    0.287,    0.200,    0.214,    0.180,    0.222,    0.251,    0.287,    0.187,    0.183,    0.149,    0.152,    0.283,    0.124,    0.281,    0.186,    0.092
  1.50,E06000014,    0.173,    0.184,    0.355,    0.468,    0.584,    0.355,    0.243,    0.246,    0.251,    0.468,    0.444,    0.281,    0.370,    0.184,    0.410,    0.431,    0.228,    0.584,    0.372,    0.173
  1.75,E06000014,    0.235,    0.261,    0.517,    0.704,    0.867,    0.568,    0.517,    0.425,    0.493,    0.558,    0.692,    0.374,    0.582,    0.384,    0.499,    0.704,    0.261,    0.867,    0.558,    0.235
  2.00,E06000014,    0.266,    0.330,    0.629,    0.856,    1.135,    0.657,    0.629,    0.514,    0.614,    0.681,    0.753,    0.406,    0.678,    0.474,    0.561,    0.856,    0.330,    1.135,    0.676,    0.266
  2.25,E06000014,    0.308,    0.457,    0.755,    0.867,    1.287,    0.767,    0.668,    0.557,    0.765,    0.769,    0.755,    0.475,    0.800,    0.593,    0.661,    0.867,    0.457,    1.287,    0.787,    0.308
  2.50,E06000014,    0.527,    0.538,    0.877,    1.083,    1.571,    0.990,    0.765,    0.712,    0.889,    1.014,    0.849,    0.527,    1.071,    0.724,    0.877,    1.083,    0.669,    1.571,    1.049,    0.538
  2.75,E06000014,    0.759,    0.760,    1.077,    1.423,    1.898,    1.170,    0.925,    0.911,    1.077,    1.342,    0.987,    0.759,    1.423,    0.927,    1.148,    1.324,    0.884,    1.898,    1.227,    0.760
  3.00,E06000014,    0.960,    1.034,    1.400,    1.857,    2.374,    1.607,    1.227,    1.140,    1.220,    1.716,    1.400,    1.090,    1.681,    1.034,    1.560,    1.811,    1.289,    2.374,    1.857,    0.960
  3.25,E06000014,    1.157,    1.310,    1.682,    2.189,    2.660,    1.948,    1.653,    1.588,    1.682,    1.892,    1.710,    1.310,    1.917,    1.651,    1.672,    2.189,    1.467,    2.660,    2.176,    1.157
  3.50,E06000014,    1.450,    1.499,    2.025,    2.699,    2.909,    2.121,    1.803,    1.765,    1.922,    2.251,    1.892,    1.499,    2.305,    2.025,    2.089,    2.699,    1.782,    2.909,    2.651,    1.450
  3.75,E06000014,    1.668,    1.827,    2.355,    3.309,    3.326,    2.477,    2.086,    2.012,    2.130,    2.664,    2.355,    1.827,    2.592,    2.355,    2.271,    3.326,    1.965,    3.309,    3.184,    1.668
  4.00,E06000014,    2.073,    2.156,    2.732,    3.711,    3.896,    2.732,    2.407,    2.517,    2.652,    3.031,    2.609,    2.073,    3.042,    2.855,    2.773,    3.896,    2.530,    3.711,    3.620,    2.156
  0.61,E07000163,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  1.00,E07000163,    0.030,    0.030,    0.032,    0.045,    0.048,    0.031,    0.032,    0.031,    0.032,    0.032,    0.045,    0.032,    0.032,    0.030,    0.031,    0.032,    0.048,    0.032,    0.031,    0.030
  1.25,E07000163,    0.035,    0.051,    0.079,    0.099,    0.130,    0.052,    0.081,    0.057,    0.083,    0.099,    0.130,    0.080,    0.079,    0.056,    0.076,    0.096,    0.051,    0.093,    0.067,    0.035
  1.50,E07000163,    0.035,    0.051,    0.083,    0.135,    0.142,    0.070,    0.081,    0.057,    0.083,    0.135,    0.142,    0.084,    0.106,    0.060,    0.078,    0.100,    0.051,    0.111,    0.086,    0.035
  1.75,E07000163,    0.035,    0.051,    0.089,    0.160,    0.240,    0.086,    0.096,    0.072,    0.100,    0.135,    0.160,    0.084,    0.120,    0.060,    0.078,    0.134,    0.051,    0.240,    0.089,    0.035
  2.00,E07000163,    0.035,    0.063,    0.096,    0.163,    0.275,    0.090,    0.096,    0.073,    0.100,    0.138,    0.163,    0.084,    0.123,    0.063,    0.081,    0.141,    0.067,    0.275,    0.097,    0.035
  2.25,E07000163,    0.037,    0.063,    0.112,    0.188,    0.356,    0.140,    0.112,    0.088,    0.105,    0.170,    0.167,    0.097,    0.147,    0.063,    0.101,    0.188,    0.069,    0.356,    0.164,    0.037
  2.50,E07000163,    0.090,    0.112,    0.168,    0.307,    0.429,    0.232,    0.112,    0.090,    0.127,    0.307,    0.168,    0.147,    0.255,    0.127,    0.181,    0.209,    0.161,    0.429,    0.265,    0.120
  2.75,E07000163,    0.159,    0.200,    0.245,    0.417,    0.588,    0.366,    0.201,    0.236,    0.233,    0.360,    0.244,    0.200,    0.361,    0.245,    0.264,    0.417,    0.201,    0.588,    0.366,    0.159
  3.00,E07000163,    0.222,    0.265,    0.371,    0.586,    0.771,    0.473,    0.222,    0.274,    0.344,    0.586,    0.371,    0.309,    0.506,    0.345,    0.425,    0.563,    0.326,    0.771,    0.581,    0.265
  3.25,E07000163,    0.283,    0.344,    0.540,    0.774,    0.842,    0.628,    0.436,    0.450,    0.494,    0.618,    0.545,    0.376,    0.580,    0.494,    0.540,    0.774,    0.344,    0.842,    0.736,    0.283
  3.50,E07000163,    0.365,    0.414,    0.666,    0.854,    0.925,    0.673,    0.455,    0.538,    0.625,    0.759,    0.595,    0.414,    0.737,    0.712,    0.666,    0.854,    0.471,    0.925,    0.802,    0.365
  3.75,E07000163,    0.402,    0.483,    0.764,    1.132,    1.258,    0.804,    0.578,    0.570,    0.660,    0.904,    0.805,    0.515,    0.846,    0.764,    0.693,    1.258,    0.483,    1.131,    1.132,    0.402
  4.00,E07000163,    0.532,    0.550,    0.895,    1.292,    1.505,    0.834,    0.641,    0.782,    0.897,    1.016,    0.895,    0.550,    0.924,    0.958,    0.839,    1.505,    0.633,    1.285,    1.292,    0.532
  0.61,E07000164,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011,    0.011
  1.00,E07000164,    0.036,    0.038,    0.062,    0.081,    0.083,    0.060,    0.066,    0.060,    0.067,    0.067,    0.083,    0.044,    0.062,    0.038,    0.039,    0.074,    0.068,    0.081,    0.051,    0.036
  1.25,E07000164,    0.079,    0.123,    0.179,    0.257,    0.278,    0.179,    0.202,    0.157,    0.196,    0.234,    0.278,    0.204,    0.173,    0.123,    0.160,    0.242,    0.143,    0.257,    0.178,    0.079
  1.50,E07000164,    0.123,    0.171,    0.318,    0.409,    0.496,    0.318,    0.231,    0.234,    0.230,    0.409,    0.392,    0.308,    0.361,    0.171,    0.360,    0.378,    0.235,    0.496,    0.321,    0.123
  1.75,E07000164,    0.170,    0.248,    0.448,    0.613,    0.765,    0.480,    0.448,    0.379,    0.444,    0.470,    0.586,    0.370,    0.506,    0.317,    0.406,    0.613,    0.248,    0.765,    0.466,    0.170
  2.00,E07000164,    0.182,    0.293,    0.515,    0.693,    0.937,    0.532,    0.515,    0.427,    0.503,    0.550,    0.625,    0.381,    0.574,    0.368,    0.455,    0.693,    0.293,    0.937,    0.561,    0.182
  2.25,E07000164,    0.232,    0.372,    0.585,    0.721,    1.092,    0.624,    0.549,    0.461,    0.585,    0.645,    0.651,    0.441,    0.678,    0.429,    0.544,    0.721,    0.372,    1.092,    0.693,    0.232
  2.50,E07000164,    0.461,    0.494,    0.724,    0.930,    1.331,    0.826,    0.621,    0.565,    0.724,    0.831,    0.737,    0.494,    0.930,    0.590,    0.691,    0.912,    0.563,    1.331,    0.916,    0.461
  2.75,E07000164,    0.636,    0.663,    0.869,    1.236,    1.573,    1.003,    0.747,    0.733,    0.869,    1.094,    0.831,    0.663,    1.236,    0.768,    0.913,    1.110,    0.719,    1.573,    1.076,    0.636
  3.00,E07000164,    0.854,    0.874,    1.167,    1.641,    1.980,    1.336,    0.988,    0.906,    1.018,    1.478,    1.167,    0.928,    1.495,    0.874,    1.245,    1.513,    1.035,    1.980,    1.641,    0.854
  3.25,E07000164,    1.021,    1.109,    1.419,    2.018,    2.287,    1.679,    1.367,    1.298,    1.402,    1.668,    1.490,    1.109,    1.816,    1.377,    1.419,    1.927,    1.222,    2.287,    2.018,    1.021
  3.50,E07000164,    1.274,    1.285,    1.780,    2.481,    2.602,    1.891,    1.518,    1.520,    1.715,    2.061,    1.712,    1.285,    2.156,    1.780,    1.815,    2.396,    1.515,    2.602,    2.481,    1.274
  3.75,E07000164,    1.486,    1.577,    2.084,    3.001,    3.016,    2.249,    1.835,    1.735,    1.940,    2.416,    2.158,    1.577,    2.446,    2.084,    1.953,    3.016,    1.663,    2.968,    3.001,    1.486
  4.00,E07000164,    1.773,    1.912,    2.442,    3.410,    3.550,    2.442,    2.100,    2.222,    2.487,    2.768,    2.337,    1.773,    2.825,    2.652,    2.435,    3.550,    2.203,    3.331,    3.410,    1.912
  0.61,E07000165,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021,    0.021
  1.00,E07000165,    0.038,    0.039,    0.042,    0.071,    0.074,    0.041,    0.042,    0.041,    0.060,    0.060,    0.074,    0.042,    0.042,    0.039,    0.040,    0.060,    0.067,    0.071,    0.041,    0.038
  1.25,E07000165,    0.087,    0.096,    0.122,    0.199,    0.209,    0.100,    0.134,    0.103,    0.163,    0.162,    0.209,    0.158,    0.122,    0.096,    0.110,    0.178,    0.104,    0.199,    0.108,    0.087
  1.50,E07000165,    0.113,    0.142,    0.214,    0.320,    0.338,    0.221,    0.142,    0.157,    0.171,    0.338,    0.290,    0.237,    0.264,    0.144,    0.198,    0.250,    0.163,    0.320,    0.214,    0.113
  1.75,E07000165,    0.115,    0.165,    0.312,    0.423,    0.558,    0.320,    0.297,    0.228,    0.344,    0.350,    0.423,    0.263,    0.370,    0.202,    0.206,    0.405,    0.165,    0.558,    0.312,    0.115
  2.00,E07000165,    0.115,    0.209,    0.344,    0.458,    0.671,    0.344,    0.299,    0.240,    0.362,    0.397,    0.438,    0.264,    0.390,    0.233,    0.216,    0.458,    0.209,    0.671,    0.378,    0.115
  2.25,E07000165,    0.148,    0.262,    0.403,    0.487,    0.793,    0.441,    0.332,    0.275,    0.403,    0.468,    0.441,    0.334,    0.487,    0.262,    0.305,    0.484,    0.262,    0.793,    0.476,    0.148
  2.50,E07000165,    0.323,    0.346,    0.501,    0.711,    0.973,    0.605,    0.369,    0.346,    0.486,    0.670,    0.509,    0.401,    0.711,    0.368,    0.442,    0.606,    0.501,    0.973,    0.674,    0.323
  2.75,E07000165,    0.447,    0.535,    0.662,    0.971,    1.237,    0.814,    0.563,    0.558,    0.595,    0.854,    0.662,    0.610,    0.971,    0.535,    0.685,    0.833,    0.599,    1.237,    0.868,    0.447
  3.00,E07000165,    0.659,    0.683,    0.861,    1.211,    1.510,    1.036,    0.730,    0.720,    0.785,    1.074,    0.882,    0.744,    1.120,    0.683,    0.861,    1.071,    0.834,    1.510,    1.211,    0.659
  3.25,E07000165,    0.739,    0.890,    1.050,    1.461,    1.670,    1.172,    0.930,    0.929,    0.961,    1.185,    1.069,    0.890,    1.296,    0.991,    1.050,    1.348,    0.925,    1.670,    1.461,    0.739
  3.50,E07000165,    0.953,    1.008,    1.259,    1.776,    1.846,    1.259,    1.023,    1.051,    1.159,    1.486,    1.204,    1.008,    1.629,    1.308,    1.369,    1.729,    1.186,    1.846,    1.776,    0.953
  3.75,E07000165,    1.077,    1.164,    1.508,    2.283,    2.367,    1.572,    1.292,    1.164,    1.293,    1.810,    1.616,    1.223,    1.837,    1.467,    1.508,    2.367,    1.321,    2.253,    2.283,    1.077
  4.00,E07000165,    1.328,    1.405,    1.792,    2.602,    2.808,    1.751,    1.578,    1.596,    1.762,    2.053,    1.792,    1.328,    2.119,    1.953,    1.819,    2.808,    1.655,    2.558,    2.602,    1.405
  0.61,E07000166,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  1.00,E07000166,    0.000,    0.002,    0.005,    0.016,    0.019,    0.003,    0.015,    0.003,    0.015,    0.015,    0.019,    0.015,    0.004,    0.002,    0.003,    0.005,    0.008,    0.016,    0.003,    0.000
  1.25,E07000166,    0.002,    0.019,    0.045,    0.072,    0.098,    0.019,    0.060,    0.033,    0.058,    0.072,    0.098,    0.063,    0.045,    0.038,    0.041,    0.059,    0.019,    0.066,    0.045,    0.002
  1.50,E07000166,    0.002,    0.019,    0.059,    0.115,    0.126,    0.054,    0.069,    0.041,    0.059,    0.126,    0.115,    0.080,    0.104,    0.039,    0.056,    0.085,    0.019,    0.107,    0.059,    0.002
  1.75,E07000166,    0.009,    0.019,    0.104,    0.184,    0.254,    0.122,    0.101,    0.082,    0.104,    0.142,    0.182,    0.088,    0.164,    0.069,    0.065,    0.184,    0.019,    0.254,    0.120,    0.009
  2.00,E07000166,    0.009,    0.050,    0.112,    0.191,    0.293,    0.143,    0.108,    0.082,    0.112,    0.150,    0.182,    0.088,    0.172,    0.070,    0.065,    0.191,    0.050,    0.293,    0.133,    0.009
  2.25,E07000166,    0.042,    0.078,    0.140,    0.264,    0.436,    0.223,    0.138,    0.111,    0.112,    0.211,    0.210,    0.140,    0.264,    0.078,    0.136,    0.231,    0.087,    0.436,    0.238,    0.042
  2.50,E07000166,    0.150,    0.163,    0.237,    0.447,    0.554,    0.326,    0.163,    0.150,    0.202,    0.371,    0.237,    0.219,    0.447,    0.190,    0.218,    0.319,    0.296,    0.554,    0.379,    0.204
  2.75,E07000166,    0.243,    0.285,    0.363,    0.648,    0.785,    0.516,    0.325,    0.315,    0.290,    0.494,    0.363,    0.348,    0.648,    0.285,    0.403,    0.553,    0.359,    0.785,    0.555,    0.243
  3.00,E07000166,    0.394,    0.414,    0.568,    0.869,    1.055,    0.700,    0.414,    0.418,    0.424,    0.793,    0.568,    0.517,    0.844,    0.424,    0.630,    0.762,    0.553,    1.055,    0.869,    0.394
  3.25,E07000166,    0.467,    0.613,    0.798,    1.227,    1.376,    0.949,    0.657,    0.643,    0.617,    0.884,    0.821,    0.613,    1.026,    0.660,    0.798,    1.086,    0.655,    1.376,    1.227,    0.467
  3.50,E07000166,    0.594,    0.703,    1.008,    1.509,    1.598,    1.082,    0.731,    0.816,    0.920,    1.157,    0.996,    0.703,    1.257,    1.008,    1.041,    1.358,    0.848,    1.598,    1.509,    0.594
  3.75,E07000166,    0.775,    0.900,    1.182,    1.888,    1.960,    1.344,    0.988,    0.903,    1.011,    1.365,    1.320,    0.900,    1.474,    1.182,    1.144,    1.850,    0.936,    1.888,    1.960,    0.775
